index,answer,prediction
1143,УНИВЕРСАЛЬНЫЙ КЛЮЧ ТАРО,УНИВЕРСАЛЬНЫЙ ЕЛЮЧ TAPO 7E
1144,А.С. Пушкин СКАЗКИ,сказки
1145,Русский язык 1,"A1 Т. М. Андрианова, В. А.Илокина Pusskиy A3bIK 1"
1146,Алексей и Екатерина 02.10.2010,Алексей и Екатерина 02.10.2010
1147,Олег и Ольга,Оre и Оuа Le-book.ru
1148,АРИФМЕТКА,АРИФМЕТИКА Dля 1 класса
1149,ТЕРЕМОК, TEPEMOK РОСМЭН
1150,РОДНОЕ СЛОВО 2,РОДНОЕ СЛОВО 2
1151,БОРИС КОЩЕЕВ Формула успеха Эпизод I,БОРИС КОЩЕЕВ Формула успеха ЭпизодI  Le-Book.ru
1152,"КОТ, ПЕТУХ И ЛИСА","КОТ, ПЕТУХ ИЛИСА"
1153,1984 GEORGE ORWELL,8 1984 GEORGE ORWELL
1154,ТРЕНАЖЁР ПО ЧИСТОПИСАНИЮ Русский язык 4,Kpacubud ТРЕНАЖЁР ПОЧИСТОПИСАНИЮ Pycckuй 936K
1155,РУССКИЙ ЯЗЫК,"EAНUUA НАГЛЯДНЫЙ ШКОЛЬНЫЙ KYPC PYCCKИЙ я3bK Аесnросmа Удобно ПОНЯТНО cnoba Cegoye Aagacun Bkpamue kpamko Glcaco Aexomonu СТРУКТУРА ТЕКСТОВ, Heiamcs ПОСЛЕДОВАТЕЛЬНОЕ ИЗЛОЖЕНИЕ УДОБНАЯ ИHФOPМAЦИИ ДЛЯ ЗАПОМИНАНИЯ Glesag Anosagen Gegabna ЗАКРЕПЛЕНИЕ ПОДГОТОВКА Ainpabspom и систематизация КУРОКАМ, ЗНАНИЙ ОГЭиЕГЭ"
1156,РУССКИЙ ЯЗЫК И КУЛЬТУРА РЕЧИ,"СРЕДНЕЕ ПРОФЕС СИОНАЛЬ HOE OBPA ЗОВАНИЕ соответствует Л.A. ВВЕДЕНСКАЯ, М.Н. ЧЕРКАСОВА PYCCKИЙЯ3ЫK И КУЛЬТУРА РЕЧИ ФЕHИКC"
1157,РУССКИЙ ЯЗЫК,"Т. Г. Рамзаева, Л. С. Сильченкова Тетрадь для проверочных работ к учебнику Т. Г. Рамзаевой PYCCKИЙЯ3ЫK 1 RuiacC Дpфa"
1158,Летние задания,E.M.Ma7se06a ЛeTHue задания по руеекому ядuку uмаmемоmие
1159,Святый княже Александре моли Бога о нас!,"Святый КНЯЖЕ АЛЕКСАНДРЕ, МОЛИ БОГА 0 HAC! •СВЯТОЙ КНЯЗЬ АПЕКСАНДР, МОЛИ БОГА О НАСИ KHET25OOV СОЛУНСКАЯ улица КОЛОМЯЖСКИЙ проспект  поhтанка.ru C"
1160,Welcome to MURDER,Welcome to JRDER MI The show THREE BILLBOARDS OUTSID Ebbing MISSOVRI EBBING
1161,Kira Plastinina,KiraPlastininaa WWWKRAPLASTNNA Guliery
1162,ГОСУДАРСТВО НЕ ПРОСИЛО ВАС РОЖАТЬ!,«ГОСУДАРСТВО НЕПРОСИЛО ВАС РОЖАТЬ!
1163,"Дешевле, чем бесплатно, не бывает!","Дешевле, чем бесплатно не бывает! 4G безлимитно опция в тарифах «Всё!» 9999www.beeline.ru CTOП С 25.09.2015 по 15.012016 на труторе Р9.кроме Рстуб Rрм  г.Севатавабонты 5и на тарефх панх 2  «B д 6  б0 в й de  бе   д wra  ceme &G.Nogpoboe-wwebeeline.ro билайн SP.03195 Russ (812)438-4848 A ATTEKA Tepeok"
1164,Здесь могла бы быть ваша частушка,Здесь могла бы быть ваша частушка
1165,HI,
1166,"это твоя олимпиада! встречай олимпийский огонь! 11 января в 20:30, г. Саратов, Театральная площадь","sarbcru ЭТО ТВОЯ ОΛИМПИΑΔА! ВСТРЕЧАЙ ОЛИМПИЙСКИЙ ОГОНЫ! 11 января в 20:30, г. Саратов, Театральная площадь hotob k.sarb"
1167,ФОНД ПРЕЗИДЕНТСКИХ ГРАНТОВ,r ФОНД ПРЕЗИДЕНТСКИХ ГПАНТОВ
1168,SAVE THE GALAXY JAMES GUN FOR RehireJames unn.com,JAMES SAVETHE GALAKY GUNNR RehireJamesCunn.com 3
1169,RUNREN R DIT,
1170,LOVE,OE
1171,ЛЮБОВЬ,ловОвь
1172,КТСП,КTCГ
1173,MAN RRE,
1174,А,A
1175,остел,Pocte
1176,briskly FACTORY,briskly FACTORY
1177,Olymp,OLYMP
1178,TELE2,зажигаютгорода 3rоp с TELE2
1179,СТУДИЯ КРАСОТЫ МАРИНЫ АМИРБЕРГОВОЙ,СТУДИЯ КРАСОТЫ МАРИНЫ АМИРБЕГОВОЙ Паравукв.
1180,РУССКИЙ СТАНДАРТ БАНК,РyCский СTАHдаТ БаНК
1181,WHITE,
1182,КВС,#KBC
1183,АКВАРОДОС мебе для,аквародос Me6 21R10
1184,иностранные языки МИЛЛЕННИУМ,иностранные языки милленниум ИKa OМПAHИ
1185,твой дом ночью и днём!,ТВОЙДОМ ночью и днём!
1186,салон цветов и подарков,САЛОН ЦВЕТОВ И ПОДАРКОВ
1187,АВТОЛОЦМАН,ОЛОЦМАН
1188,3,3
1189,МАГНОЛИЯ,МАТНОЛЯ
1190,G,
1191,match,mnich
1192,е,e
1193,ПОДВОДНАЯ RiverMan,ПОДВОДНАЯ RiverMan u
1194,ARE PE,ARE PEO
1195,2020,
1196,котофей,kоmoфей
1197,720 БАТУТНЫЙ КЛУБ,720 БАТУТНЫЙ КЛУБ %
1198,ВЕТЕРИНАР,BETERMHAP
1199,ЛЮБОВЬ,ЛЮБВЫ
1200,U,
1201,Анастасия Маргарита,Анacтaсия Maprapuma
1202,К,K
1203,одежда,ОДЕЖДА
1204,OZON,OZON
1205,ОРТОПЕДИЧНИЙ САЛОН,ОРТОПЕДИЧНИЙСАЛОН
1206,Best ц,Best Ⅱ
1207,НТЕРЬЕР Студия,АНТЕРЬЕР
1208,автозапчасти,АВТОЗАПЧАСТИ
1209,СЕТЬ КЛИНИК БЭБИБУМ,СЕТЬ КЛИНИК БЭБИБУМ бэбибум ДЕТО A 
1210,НАРАЩИВАНИЕ РЕСНИЦ Студия Анны Ключко,НАРАЩИВАНИЕ РЕСНИЦ «СтудияАнны Ключко
1211,сквер имени сергея тюленина,CKBEP ИМЕНИ СЕРГЕЯ ТЮЛЕНИНА
1212,MERCURY,MERCURY
1213,ROOMS Premium hostel,ROOMS Premium hostel
1214,А,A
1215,G,G
1216,а,
1217,SWAROVSKI,PПK 6YKBA 60 SWAROVSKI PPK 6YKBA 60
1218,ветов,
1219,А,
1220,BANDEO,BANDEO
1221,СОКОЛ,COKON
1222,ЛИНЗМАСТЕР,JУH3МАСТЕР
1223,А,A
1224,DNS,DNS ЦИОРВАИ ЬПООЯ П
1225,КАФЕ,KAΦE
1226,PARK RESIDENCES житловий комплекс,PARK RESIDENCES житловий комплеко
1227,ГРАНАТ,
1228,MODIS,MODIS
1229,Andrey,ndrey Grigore
1230,41,41
1231,ситилаб,ситилаб
1232,Р,P
1233,"план эвакуации при пожаре г. Москва, ул. 2-я Мелитопольская, вл. 4А, стр. 39 Офисно-складской комплекс","ПЛАН ЭВАКУАЦИЙ ПРИ ПОЖАРЕ г. Моска, уп. 2-я Мелитопольская, вл.4А,стр.39 Офисно-складской комплекс"
1234,"Я НЕ ГРУСТНЫЙ, Я ТРЕЗВЫЙ!",Я НЕ ГРУСТНЫЙ Я ТРЕЗВЫЙ!
1235,W2UHG,W2UHG USAGARDEN STATE
1236,ДЕКАТЛОН,ДЕКАТЛОН
1237,СОБЛЮДАЙТЕ ЧИСТОТУ PLEASE DO NOT LITTER HERE,СОБЛЮДАЙТЕ ЧИСТОТУ PLEASE DO NOT LITTER HERE
1238,Наглядность на уроках истории,БИБЛИОТЕКА УЧИТЕЛЯ ИСТОРИИ M.B. HOPOTHOBA Наглядность на уроках истории 
1239,E1.RU,E1.RU
1240,ОТЧЕТ, ОТЧЕТ
1241,КУЛЬТУРА НАУКА ОБРАЗОВАНИЕ,16+ КУЛЬТУРА HAUKA ОБРАЗОБАНИЕ
1242,ВНИМАНИЕ! ОБЪЕКТ НАХОДИТСЯ ПОД ОХРАНОЙ,ВНИМАНИЕ! ОБЪЕКТ НАХОДИТСЯ ПОД ОХРАНОЙ
1243,на крыше лофт-ресторан,Hакрыше лофт-ресторан
1244,ПЕРВИЧНЫЙ ПРИЕМ ИНВАЛИДА,ПЕРВИЧНЫЙ ПРИЕМ ИНВАЛИДА
1245,ЭТНИЧЕСКОЕ И РЕЛИГИОЗНОЕ МНОГООБРАЗИЕ РОССИИ,ЭТНИЧЕСКОЕ И РЕЛИГИC3НОЕ МНОГООБРАЗИЕ РОССИИ
1246,ПУСК ПОЖАРОТУШЕНИЯ,nyck ПОЖАРОТУШЕНИЯ
1247,Важная информация,Важная информация
1248,35,35
1249,РЕШАИ! КАКИМ БУДЕТ ТВОЙ ГОРОД,РЕШАЙ! КАКИМ БУДЕТ ТВОЙ ГОРОД
1250,ШКУРНЫЙ ВОПРОС,ШКУРНЫЙ ВОПРОС CMONE
1251,АВСТРИЙСКАЯ ПЛОЩАДЬ,АВСТРИЙСКАЯ ПЛОЩАДЬ
1252,стриж детская студия,детская студи р
1253,МОХНАТЫЙ КРАБ,МОХНАТЫЙКА
1254,27 ВОЛХОНСКОЕ ШОССЕ,27 ВOJIXОHСKОЕ ШОССЕ
1255,neuhausen,Neuhausen
1256,группа компаний  Авангард,.ru группа компаний Авангард
1257,медпункт,МЕДПУНКТ онартани
1258,таблички номерки шильды,ТАБЛИЧКИ НОМЕРКИ ШИЛЬдЫ 03m6.m 1m6 1m6 1m6M
1259,СТРОЧКА ИЗ ВАШЙ ЛЮБИМОЙ ПЕСНИ,СТРОЧКА И3 ВАШЙ ЛЮБИМОЙ ПЕСНИ
1260,УЛИЦА САДОВАЯ 65,И A САДОВАЯ 65
1261,2 этаж - СПА,"2 этаж- СПА БАССЕЙН -МУЖСКАЯ РАЗДЕВАЛКА ЖЕНСКАЯ РАЗДЕВАЛКА /душевоя, турецкая пОрная, финская парная"
1262,"Лучше хорошо ВЫГЛЯДЕТЬ, чем хорошо ГОТОВИТЬ.",ЛУЧшЕ ХОРОШО ВЫГЛЯДЕТЬ ЧЕМ ХОРОШО ГОТОВИТЬ.
1263,П Э,П3
1264,Этикетка на продовольственном товаре,Этикетка на продовольственном товаре Состоя Macca x04041 Усповия Калорийность Aapec wгоTовИTеnя Срок годности Вся информоцяно русоксм яаке MyShare
1265,ALTOS,ALTOS ALBARINO 30UP T5. d Jorona  RiasBaias JB N 0563647 CONSEJD REDULAECE 8
1266,The best things come in this package!,Xx0000 The best things come in this package!
1267,казенное вино.,КAЗЕННОЕ ВИНО. КPbОСТb BEPA 40% Е3MHA 2p.25H. поcудb 25H. МоГо 2р.50к. friends
1268,СПАСИБО ЗА ПОБЕДУ!,СПАСИБО ЗА ПОБЕДУ! Jpaobu Oкиp Участвуй в конкурсе детских 8 рисунков #РисуюПобедуСАлёнкой и получай гарантированные призы. Подробнееобусловияхконкурса на сайme pobeda.alenka.ru Шоколадмолочный«Алёнка «Алёнка»сутти шоколады Cha лёнка молочныйшоколад MACCAHETTO:100r ТАЗАCАЛМAРЫЕ 100 EAC S СДЕЛАКО ГОCТ Конкурс FOCT31721 дЕТскоГО pucyHka 120420 120421 pobeda.alenka.ru
1269,Принтеры для WILDBERRIES 2022,Принтеры ДЛЯ WILDBERRIES 2022
1270,энциклопедический словарь гранат,3НЦИКЛОПЕДИЧЕСКИМ 3RKE 2P СЛОВАРЬ CАОВАР ГПАНАТ TPAHA
1271,CAVA,"OF SPAIN PRODUCE CAVA RESERVA Tesco BRUT BRUT SELECTED BY TESCO hvod PRODUCED BY MADEMOSA SANT SADURNI D'ANOIA, 75cle SPAIN.EMB.3350-B"
1272,MILK grape,"Состав: вода умягченная, диамид угольной КИСЛОТЫ, глицерин, масло вазелиновое, стеарил Производитеь т метиКон каприлил МеТиКОн ПЭГ-40 Mcak y 8p гидрогенизированное касторовое масло, масло Датакзотоеи какао цетеариловый спирт, глицерил стеарат, пчелиный воск, полиакрилат натрия, глицерил полиметакрилат, пропиленгликоль, PVM/MA сополимер, феноксиэтанол, метилизотиазолинон, метилхлоризотиазолинон, протеины молока, X экстракт винограда, парфюмерная композиция, ЭДтА натрия, СI 19140, СI 42090. 46013 plush-koala.livejournal.com"
1273,Учимся читать информацию на этикетке с товаром правильно,Учимся читатьинформацию на этикетке с товаром правильно
1274,колбаса Ностальгия,колдаса Ностальгия сорокопенах овии ОХЛАЖАНВНАЯ
1275,ПивоЖигулевское,PTY 176-58 З4ВОДОВ СОВНАРХОЗА 3A
1276,STRAT RA M DI NGROUP AUSSIEDLERBOTE,STRATERA MEDIENGROUP AUSSIEDLERBOTE
1277,Apacer,Apacer 803 0014 2656 
1278,OZON,OZON
1279,ebay,ebay
1280,Garlsberg,arlsberg
1281,HINK CAR,HINK&CAR
1282,Каждый День горбуша,"Каждый DeHb ФОРБУША ПРОДУКЦИЯ РЫБНАЯ МОРОЖЕНАЯ: ГОРБУША ПОТРОШЕНАЯ. Соетав: горбуша,глазурь(содн) не бопее5%. Энергетичеокая ценность на 100 г: 116 ккал. Пищовая ценность о 100 г продукта: белки - 20 г, жиры - 4 г. Способ приготевления: продукт водлежит термической обработко. Условиязо  хранить при темпоратуре но вышо минус 1аС. Район промысла: Ссве о бовоо 12 мосцов с даты иоготолления. Размороженный продукт повторно не замораживать Изготовителы: ОО0 -Рыбные продукты-, 249010, Российская Фадерация, Калужокая обл. Боровский район, д. Маланыино. месяц,год: 23.12.13 Масса нетто 23.12.14 СЕРВИСКЛИЕНТА бозглазури: clientpervdioe@awchan.ru www.awchan.ru M0.005 Kг. 2533846000050 Мы рады предложоить Вам по низкой цеме 0.005 kr. продукт хорошого качества"
1283,Хлопья овсяные 2 ЯСНО СОЛНЫШКО,"Хлопья овсяные №2 ""ясно солнышко"" TR91 18 упаковочных единиц Телефок (812) 722-09-84,(812) 722-50-46; MaCCa HeTTO 9 Kr www.mil.ru Пицевая ценность в 100 г беnо 12.0r продукта: 248155618009 Утпеводы Жиры 51.0r 6.0r TY9294-006-00941903-99 воздуха не выше 70% не выше 25С и относите ОНОСТИ Срок хранения 12 меся Изготовлено и упаковано:"
1284,ИМЯ KEEP  CALM AND ТЕБЕ ТОЛЬКО 40,ИМЯ KEEP CALM AND ТЕБЕТОЛЬКО 40
1285,"Найди надпись в интернете и пришли нам, мы сделаем еще круче!",Найдн НАДПНСЬ B HHTEPHETE IH ПРИШПИ HAM Мb СДЕЛАЕМ ЕЩЕ КРУЧЕ!
1286,УСПЕШНАЯ красивая всегда НЕОТРАЗИМАЯ,d УCПЕШНАЯ красивая HЕОТРАЗИМАЯ 
1287,Любовь это...,Любовь это..
1288,ДУША ПОЁТ КАРДИОГРАММА ПЛЯШЕТ  ГОДА ИДУТ А ДУРЬ ВСЁ  ТА ЖЕ!,ДУШАПОЁТ КАРДИОГРАММА ПЛЯШЕТ ФОДА ИДYТ A ДYPЬ BCE ТАЖЕ!
1289,Добавь фото и надпись,фото Добавь и надпись
1290,Это моя лучшая подруга,Это МОЯ лучшая ПОДРУГА
1291,галина,2044
1292,Mr.,Mr. OO
1293,БРАТЮБНЬ. НЕ ГРУЗИСЬ! ХЛЕБНИ ЧАЙКУ И УЛЫБНИСЬ!,БРАТЮНЬ НЕ ГРУЗИСЬ! ХЛЕБНИ ЧАЙКУ И УЛЫБНИСЬ!
1294,СЛЕЗЫ МОИХ БЫВШИХ,СЛЕЗЫ МОХ БЫВШИХ
1295,Я Люблю ТЕБЯ больше чем КОФЕ,ЯЛюблю ТЕБЯ больше чем KОФE
1296,САМАЯ ОЧАРОВАТЕЛЬНАЯ В МИРЕ МАМА,CAMAA ОЧАРОВАТЕЛЬНАЯ 8 MWPE MAMA
1297,МОЛОДЕЦ,MOЛOΔEU
1298,"САША не бухает, САША отдыхает","CAWA ne бухает, CAWA отдыхает Avito"
1299,СПАСИТЕ ОТ ГУЛЯНОК ВОЗЬМИТЕ В ЖЕНЫ,СПАСИТЕ ОТГУЛЯНОК ВОЗЬМИТЕ ●● В ЖЕНЫ
1300,БЕСИТЕ,BЕCИТЕ
1301,Царица Екатерина,Царица Екатерина
1302,"BRZUCH od piwa, niz GARBA od roboty","Lepies mieé BRZUCH od piwoa, niz GARBA od roboty"
1303,НЕТ. Я НЕ БУДУ ЧИНИТЬ ВАШ КОМПЬЮТЕР,HЕT. Я НЕ БУДУ ЧИНИТЬ ВЯШ КОМПЬЮТЕР
1304,Выход из режима сна,Выход изрежима cHa kaspersky
1305,m,1
1306,С 8 Марта!,CSllamab
1307,"Доброе утро всем, кто начал этот день с нотки раздражения","ДОБРОЕ YTPО BCEM, KTO НАЧАЛ ЭТОТ ДЕНЬ С НОТКИ РАЗДРАЖЕНИЯ"
1308,world skills Russia,world skills Russia
1309,ПОЗВОНИТЬ,ПОЗВОНИТЬ
1310,"С днем рождения, АлёнушКа!",Пример надписи на стандартном торте CgHeu Bo31cgeHua eAiëHyuika!
1311,С Днем Рождения любимый!,Dneu Poskgenue 10
1312,HAPPY BIRTHDAY,
1313,Happy Birthday,Forpy irthdayg
1314,Торт императора Император тортов,Жopm somepatopa Umneparnop mopmob NeRley
1315,С днем Рождения Анечка,Cghau Рденuя Merka
1316,Любимой мамочке!,UDVNO
1317,Кирюше 1 годик,Кupошe 1 20duk
1318,"С 18- летием, доченька!",G18 неmием доченка
1319,Арише 8,Аpuue 8
1320,"С днём рождения, моя хулиганка!",ДHΕM РОЖдеНИЯ MOR ХУЛИГАНКА!
1321,ВОТ ЧУВСТВУЮ ЧТО МНЕ 18 А ДОКАЗАТЬ НЕ МОГУ,BOT ЧУВСТВУЮ ЧТО MHE 18 A ДОКАЗАТ HE МОГУ
1322,"С Днём рождения, мамуля!","C Dnn рождения, manys!"
1323,"с 29-летием, моя старушка!",с29-летием МОЯ СТАРУШКА!
1324,Анастасия,Anacmacua
1325,30,30
1326,НЕ МУЖ А ЗОЛОТО И ЛУЧШИЙ ПАПА,НE МУЖ A30AOTO и ЛУЧШИЙ ПАПА
1327,Happy Birthday,0 Happy Rridey
1328,Happy Birthday,
1329,25,anilla Vanila AtRCN Vani 25
1330,хэпи бёздей,
1331,Felis mpleanos,Feliz Cmrsbeanos
1332,Feliz,Feli CUMPLEANOS
1333,happy birthday,happy Brthdtay
1334,Happy Birthday,Birthdlay
1335,НСТВО ХРЕЩЕННЯ IВАНА,Книга Рецептов РЕЩЕНН
1336,ГОД ПОЗАДИ- ВСЕ ВПЕРЕДИ,FОД Bce ПОЗАДИ- BnepeDM
1337,Dave you are a Huge Disappointment,Dave yoe are Huge Dicappointment:  A
1338,ВАУ! УЖЕ 20!,
1339,Here s your stupid Cake!!,Here' yowr stupid Coke
1340,С днём рождения!,Iuüm
1341,С ДНЁМ РОЖДЕНИЯ!,C aHsu DDMCAeU9
1342,HAPPY BIRTHDAY HARRY,HAPPY BIRTHDAY HARRY
1343,I m Sorry i m a grumpy bitch...,IimB Sorry ima grumpy bitch...
1344,с Выздоровлением!блеять!,ВЫЗДОРОВЛЕ ΕΛEAT uem! MM
1345,80,
1346,С Юбилеем!,Юбee
1347,"ОДНАЖДЫ РИСКНУВ, МОЖНО ОСТАТЬСЯ СЧАСТЛИВЫМ НА ВСЮ ЖИЗНЬ.","ОДНАЖДЫ РИСКНУВ, МОЖНО ОСТАТЬСЯ СЧАСТЛИВЫМ НА ВСЮ ЖИЗНЬ."
1348,4 5 6 7 8 9 0,456 789 
1349,"Мы приходим сюда, Чтоб цветы положить, Очень трудно, родная, Без тебя нам прожить","Мы приходим сюда, Чтоб цветы положить Очень трудно, родная, Без тебя нам прожить"
1350,"Да ладно, все нормально","Да ладно, все нормально"
1351,"Помним, Любим, Скорбим","Помним, Любим, Скорбим"
1352,"Ты жил в полный рост, не жалел беспокойного сердца.",ТЫ Жил В ПолНЫй РОСТ. НЕ ЖАЛЕЛ БЕСПОКОЙНОГО CEPAЦA
1353,"ТОМУ, КТО ДОРОГ БЫЛ ПРИ ЖИЗНИ, ОТ ТЕХ, КТО ЛЮБИТ И СКОРБИТ.","ТОМУ, КТО ДОРОГ БЫЛ ПРИ ЖИЗНИ, ОТ ТЕХ, КТО ЛЮБИТ И СКОРБИТ."
1354,IN LOVING MEMORY GEORGE DOUGLAS McFLY,GEORGE DOUGLAS MGFEY 0
1355,СВЕТЛАЯ ПАМЯТЬ О ТЕБЕ НАВСЕГДА ОСТАНЕТСЯ В НАШИХ СЕРДЦАХ.,СВЕТЛАЯ ПАМЯТЬ О ТЕБЕ НАВСЕГДА ОСТАНЕТСЯ В НАШИХ СЕРДЦАХ.
1356,Rabbi Ben-Cion DONEHIN,351 Rabbi BenLion DONEHIN
1357,Воинское захоронение Первой мировой войны,"Воинскоезахоронение Первоймировой ВоЙны имераторской армии и 4и вони Гедманской крнни, Здесь поноятся с миром зо воннов Руссной ногибшиеа 1944-1915годах Kriegsgrab aus dem Ersten Weltkrieg Kaiserlichen Armee sowie 41 Krieger der Deutschen Armet Hier ruhen in Frieden ao Krieger der Russischen 1924 - 1915 gefallen"
1358,кургановы,KYPГAH0BЫ AGuga Xanafuá фcхanобнa Cуremanobut 1934-2017 1954-1977
1359,ПОМНИМ ЛЮБИМ СКОРБИМ,ЛЮБИМ СКОРБИМ ПОМНИМ
1360,Владимир Валентинович 22.04.1957 02.12.2015,ОНЕЦОВ ВЛАДИМИР ВАЛЕНТИНОВИЧ 22.04.1957-02.12.2015
1361,Андрей Сироткин,СИРОТКИН АНДРЕЙ
1362,Ермаку от борчан,Epмaky OT БОр4АH eg1
1363,ФАМИЛИЯ Имя Отчество 00.00.0000 00.00.0000,ФАМИЛИЯ Имя Отчество
1364,salve,"NLVE «Domus propris domus optima»- «Свой дом «Magmus est ot qui dat et qui amba haec dare qui aocipit sed maximus Наневотры ротовь-«Bелик и тот надгробиях КТО ДЕТ, И ТОТ, КТО принииает Но самый HO D.OM Maximos - Госнод rak«Deo, Optimo Пуи"
1365,В ЭТОМ ДОМЕ ЖИЛ РУССКИЙ ХУДОЖНИК СЕРГЕЙ ВАСИЛЬЕВИЧ ИВАНОВ,ВЭТОМ ЛОМЕЖИЛ РУССКИЙ ХУДОЖНИК СЕРГЕЙВАСИЛЬЕВИЧ ИБАНОВ
1366,ИЗ ИСТОРИИ ПИСЬМЕННОСТИ В АБХАЗИИ,ННСЬЛЕННОСТИ А6ХАЗМ
1367,R.I.P.,R.I.P.
1368,RUSSIA,AISSNE
1369,ПЕТРОВА МАРИНА СЕРГЕЕВНА,AMOAN 89-69-229 ANG1 HETPOBA СЕРTЕЕВНА MAPZKA 12.12.1971 18.07.2006 (56
1370,suworof,ZUR ERINNERUNC AN DEN UEBERCANC DES RUSSISCHEN HEERES UNTER FUHRUNC DES CENERALISSIMUS SUWOROF IM SPAETHERBST 1799.
1371,НЕ ВСЕ ПРОХОДИТ И БЕЗ РЕКВИЕМ ПУСТЬ НА,НЕ ВСЕ ЧТРОХОДНТ И БЕТ РЕКВНЕМ ВУОТЬНАЛ  фоhтанка.pу САНКТ ПЕТЕРБУРГОНЛАИН
1372,р. ВОНЮЧКА,р.ВОНЮЧКА
1373,СУШКИ,CУШКИ
1374,р.ПАЛУС,р. ПАЛУС
1375,Ново-Никольский мост,Ново-Hиколскиймост
1376,р. СОСЬВА,COCbBA
1377,карта опасностей на реке вологда,"Промоины в КАРТА ОПАСНОСТЕЙ НА РЕКЕ ВОЛОГДА йоне створа ул. (по состоянию на 15 марта 2022 года) Пенинградской yn. Промоины в районе м-н Прибрежный (правый По итогам ежедневного берег), Остров (створ ул. мониторинга ледовой p. Bom HекрaсoBa), обстановки на реке yn.Гоpкоro un. Энгeльс Кувшиновского моста. Вологда, спасателями yn.HekpacoB 0vn  МКУ«ЦГ3 г.Вологды» ренцовой Доронинская ул. составлена карта wA Промоины в районе возможных опасностей на реке Вологда и соборной горки (правый Дальняя ул. Комсомольская ул 6eper), границах города Октябрьского моста, устья р.Золотуха Тихаяул. осп.Победы 106.6- Фрязиновская ул. Историко ОМИИ pkca aрхитек урныйи ПРЕДУПРЕЖДАЕМ! художественный. Пречистенскйр ВыхОд нА ЛЕД оПАСЕН и строго запрещен! Промоины в un. JeHna Нарушение карается оайоне впадения Севернаяул штрафом! ручья в Кремлевском HOBOй сквере n un.Прокатовa Промоины в Северная районе Флапмана,устья p. Шограш  уn.Pa3инa Динамо 6 Речной вокзал yn. Пуraчeva Вологда Промоины в Галюинская ул. Зосимовская ул. районе Баранково уn. Челюсюнцев M"
1378,КУПАНИЕ ЗАПРЕЩЕНО,КУПАНИЕ ЗАПРЕЩЕНО
1379,р. ВОБЛЯ,р.ВОБЛЯ 
1380,ЛЕДОВАЯ ПЕРЕПРАВА,ЛЕДОВАЯ ПЕРЕПРАВА
1381,БАБЕНКИ,БАБЕНКИ
1382,р.ТЕША,p.TEWA
1383,р.ИЯ,p.
1384,р. УБЕЙ,р.УБЕЙ
1385,ПРОХОД ЗАПРЕЩЕН,ПРОХОД ЗАПРЕЩЕН
1386,р.МЕДВЕДИЦА,р.МЕДВЕДИЦА
1387,р. ИРА riv. IRA,p.IPA riv.IRA
1388,DUST,DUSTO 45761
1389,р.. УЛЛА,р. УЛЛА
1390,13 микрорайон,13 микрорайон
1391,р. ВИЖАЙ,р.ВИЖАЙ
1392,40,40
1393,р. Торопа,p.Topoпa
1394,ВОСКРЕСЕНКА УПОРОВКА,BOCKPECEHKA УПОРОВКА
1395,р. ТРУБЕЖ,p. .ТРYБEЖ
1396,РАССКАЗЫ ГЛИНЯНЫХ ТАБЛИЧЕК Мифы народов Двуречья,"наука. РАССКАЗЫ ГЛИНЯНЫХ ТАБЛИЧЕК Мифы народов Двуречья надолго сохранить память о себе. названия,возникли скалы, напоминающиело дей,животных,откуда взялись пустыни,что такоегром и холния.. Сегоднх многие воспринимают мифы ках забавные,грустныеили страшныесказки.Но в сказках события происходят «в тридев том царстое,тридесятом государстве»,а 0an0 жифов есть адрес:страна,город,река.Дреена 1 сказания помогают ученым добратьсядос жых глубоких корней иетории стран и наро дов. А порою в современных нравах и обычах обнируживаетея наследие седой древноети. Гомель860 04.05 2016 Labirint.ru"
1397,ДЕШОВКИ,ДЕШОВКИ
1398,река ЯГОМА river YAGOMA,peka ЯГОМА river YAGOMA
1399,Древнее Двуречье,"Древнее Двуречье Междуречые, Двуречые Месопотамия Реки - Евфрат и Тигр Вавилония Народ-шумеры Уpyк Город Вашилон, Ур и КЛИНОПИСЬ (ГЛИНяНЫе Письменность Почва плодородная таблички и клин) Законы Хаммурапи на чарном камна"
1400,ХЕРСОН,XEPCOH СМЕРТЬ-ОКМ
1401,КРАСНЫЙ СЛОН,KPAСHbЙ СЛОН
1402,Kompan kierros Lahnaniemen seurojentalo,Kompan  kierros Lahnaniemen seurojentalo
1403,КИРОВ,КИРОВ
1404,POZOR,POZOR DËTI!
1405,ЦЕЛЬ ИССЛЕДОВАНИЯ:,"Проблемный вопрос. Что интересного может поведать река Остер? Объект исследования. река Остер ЦЕЛЬ ИССЛЕДОВАНИЯ изучить историю появления названия реки, дать гидрологическуюхарактеристику, показатьзначение в жизни местного населения,изучить проблемы загрязнения проделыванияопытов и исследований реки города Рославля, путем воды в реке Остер, воспитывать бережное отношение к водоёмам."
1406,АДРЕСНЫЕ ТАБЛИЧКИ RU,ТАБЛИЧКИ АДРЕСНЫЕ RU
1407,КОБЯКИ,КОБЯКИ
1408,улица ГЛАВНАЯ 140,УНИЦА ГЛАВНАЯ 140
1409,Я Твоё,TUTYUNOVA OLGA
1410,OVE,OVE NYNAILS KANGANNYNAILS
1411,hot,ANNANAILS hot
